姓名,?职位,性别,年份,民族,籍贯,博士,硕士及以上,党员,中央党校经历,参加工作年份,参加工作时的年龄,县委书记,秘书,县长,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,现级别,工作省份,工作地区,企业经历,(副)市长,党委(副)书记,副科级年龄,正科级年龄,副处级年龄,正处级年龄,副厅级年龄,正厅级年龄,副部级年龄,正部级年龄,潜力,省份数量,地区数量
蔡奇,北京市委书记,是,1955,汉族,福建,是,是,是,是,1973,18,否,是,否,0,0,1983,1987,1993,1997,2007,2016,8,"北京,福建,浙江","永安,北京,三明,台州,衢州,杭州",是,是,否,0,0,28,32,38,42,52,61,否,3,6
孙志刚,贵州省委书记、省人大常委会主任,是,1954,汉族,河南,是,是,是,是,1971,17,否,是,否,0,0,0,0,1992,1993,2002,2015,8,"安徽,河南,上海,贵州,湖北","荥阳,汉阳区,宜昌,上海,武汉",是,是,否,0,0,0,0,38,39,48,61,否,5,5
陈豪,云南省委书记、省人大常委会主任,是,1954,汉族,江苏,否,是,是,是,1977,23,否,是,否,0,1983,0,0,1993,1999,0,2014,8,"江苏,云南,上海","上海,海门,静安区,临江",是,否,是,0,29,0,0,39,45,0,60,否,3,4
林铎,甘肃省委书记、省人大常委会主任,是,1956,汉族,山东,否,是,是,是,1974,18,否,是,否,0,0,0,1991,0,2000,2010,2016,8,"北京,黑龙江,甘肃,辽宁","北京,城区,哈尔滨,西城区",是,是,是,0,0,0,35,0,44,54,60,否,4,4
刘赐贵,海南省委书记、省人大常委会主任,是,1955,汉族,福建,否,是,是,是,1973,18,是,否,否,0,0,1983,1988,1993,2002,2007,2015,8,"海南,福建","龙岩,莆田,光泽县,邵武,厦门",否,是,是,0,0,28,33,38,47,52,60,否,2,5
许达哲,湖南省委副书记，省长,是,1956,汉族,湖南,否,是,是,是,,,否,否,否,0,0,0,0,0,1995,2016,2016,8,"湖南,江西","余干县,哈尔滨",是,否,是,0,0,0,0,0,39,60,60,否,2,2
应勇,湖北省委书记,是,1957,汉族,浙江,否,是,是,否,1976,19,否,否,否,0,1983,1983,1986,1992,1995,2013,2017,8,"上海,湖北,浙江","绍兴,上海,杭州,台州",否,是,是,0,26,26,29,35,38,56,60,否,3,4
于伟国,福建省委书记、省人大常委会主任,是,1955,汉族,山东,否,是,是,否,1973,18,否,是,是,0,0,0,1973,1991,0,1995,2015,8,"江苏,福建","太仓,厦门",否,是,否,0,0,0,18,36,0,40,6无,否,2,2
陈求发,辽宁省委书记、省人大常委会主任,是,1954,苗族,湖南,否,否,是,是,1973,19,否,是,否,0,0,1983,1991,0,0,0,2013,8,"湖南,辽宁",0,是,否,否,0,0,29,37,0,0,0,59,否,2,1
陈润儿,宁夏回族自治区党委书记，自治区人大常委会主任,是,1957,汉族,湖南,否,是,是,是,1975,18,是,是,是,0,0,1985,1987,1994,1999,2006,2016,8,"河南,宁夏,湖南,黑龙江","长沙,娄底,陵县,湘潭,郴州,茶陵县",是,是,是,0,0,28,30,37,42,49,59,否,4,6
陈武,广西壮族自治区党委副书记、自治区政府主席,是,1954,壮族,广西,否,是,是,是,1972,18,否,是,否,0,1982,1986,1992,0,2000,2005,2013,8,广西,"钦州,南宁,凭祥",否,否,是,0,28,32,38,0,46,51,59,否,1,3
刘奇,江西省委书记、省人大常委会主任,是,1957,汉族,山东,是,是,是,是,1974,17,否,否,否,0,0,0,0,0,1996,2008,2016,8,"江西,浙江","义县,温州,武义县,衢州,宁波",是,是,是,0,0,0,0,0,39,51,59,否,2,5
齐扎拉,西藏自治区党委副书记、自治区政府主席,是,1958,藏族,云南,否,是,是,是,1979,21,是,否,否,0,1983,1990,1994,2000,2001,2010,2017,8,"云南,西藏",拉萨,否,否,是,0,25,32,36,42,43,52,59,否,2,1
阮成发,云南省委副书记，省长,是,1957,汉族,湖北,是,是,是,否,1975,18,否,是,否,0,1985,0,1987,1992,1998,2004,2016,8,"湖北,云南","武汉,襄樊,黄石,武昌区",是,是,否,0,28,0,30,35,41,47,59,否,2,4
易炼红,江西省委副书记、省长,是,1959,汉族,湖南,否,是,是,否,1976,17,否,是,是,0,0,1992,0,0,2000,2011,2018,8,"陕西,湖南,江西,辽宁","沈阳,长沙,邵阳,陵县,岳阳,沅陵县,涟源,株洲",是,否,否,0,0,33,0,0,41,52,59,否,4,8
布小林,内蒙古自治区党委副书记，自治区政府主席,否,1958,蒙古族,内蒙,是,是,是,是,1976,18,否,是,否,0,1987,1989,1993,1997,0,2008,2016,8,"北京,内蒙古","北京,内蒙古自治区,阿拉善盟",是,否,是,0,29,31,35,39,0,50,58,否,2,3
谌贻琴,贵州省委副书记、省长,否,1959,白族,贵州,否,是,是,是,1977,18,否,否,否,0,0,1982,1993,2001,0,2007,2017,8,贵州,铜仁,否,否,是,0,0,23,34,42,0,48,58,否,1,1
杜家毫,湖南省委书记、省人大常委会主任,是,1955,汉族,浙江,否,是,是,是,1973,18,是,是,否,0,0,0,1985,0,1998,2004,2013,8,"黑龙江,湖南,上海","浦东新区,杨浦区,松江区,新区,上海,中山",否,否,是,0,0,0,30,0,43,49,58,否,3,6
