姓名,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,现级别,工作省份,工作地区,企业经历,(副)市长,党委(副)书记
王宁,0,1987,1994,0,0,2006,2015,0,7,北京,"宣武区,兴县,城区,西城区,北京,郊区",0,1,0
王少峰,0,0,0,0,0,0,0,0,0,北京,北京,0,0,0
程连元,0,0,0,0,0,2012,2016,0,7,"北京,云南","北京,朝阳区,朝阳,昆明",1,0,1
吴桂英,1993,1994,1994,1998,2008,2012,2018,0,7,"北京,湖南","北京,朝阳,朝阳区",1,0,0
隋振江,0,0,0,0,1999,2004,2015,0,7,北京,"北京,城区,西城区,海淀区",1,1,0
夏林茂,0,0,0,0,0,2011,0,0,6,北京,"东城区,城区,北京,石景山区",0,0,0
卢映川,0,0,0,0,0,2013,0,0,6,北京,"北京,城区,顺义区,西城区",0,0,0
侯君舒,0,0,0,0,0,2010,0,0,6,北京,"北京,昌平区",0,0,0
齐静,0,0,0,0,0,2011,2017,0,7,北京,"北京,怀柔区",0,0,0
常卫,0,0,0,0,0,0,0,0,6,北京,"北京,石景山区",0,0,0
张吉福,0,0,0,0,0,2010,2016,0,7,"北京,山西","北京,大同,平谷区",1,0,1
李志军,0,0,0,2012,0,0,0,0,6,北京,"北京,延庆县",0,0,0
冀国强,0,1993,1998,2000,0,2015,2017,0,7,"北京,天津","宣武区,天津,蓟县,北京,静海县,津,代县",0,0,1
李树起,0,0,0,0,1998,2008,2015,0,7,天津,"南区,津南区,天津,津,宁河县",0,1,1
袁桐利,0,1986,1994,0,2000,2002,2012,0,7,"天津,河北","天津,大连,新区,津,武清区",1,0,1
宗国英,0,0,0,0,2009,2010,2013,0,7,"天津,云南","津,天津,新区",1,1,1
田向利,0,1985,1992,1995,1996,2001,2008,0,7,"四川,河北","西区,唐山,石家庄,张家口,桥西区,秦皇岛",0,0,0
商黎光,0,1989,1992,1997,1999,2013,2016,0,7,"河北,山西","平乡县,秦皇岛,沧州,邢台",0,1,0
高宏志,0,0,0,0,2001,2003,0,0,6,"北京,河北","北京,邯郸,衡水",0,1,0
回建,0,1985,1991,1993,0,0,0,1999,6,"天津,河北","唐山,天津,邯郸,张家口,河间,津,沧县,沧州",0,1,1
孟祥伟,0,1993,1996,1999,2008,2013,0,0,6,"湖北,河北","保定,秦皇岛,兰州,邢台,咸宁,代县,阜平县,赵县,徐水县,沙河",1,1,0
聂瑞平,0,0,1987,1996,2003,2011,2018,0,0,河北,"保定,秦皇岛,廊坊,献县",0,1,1
邢国辉,0,1985,1991,1994,0,2011,2016,0,7,河北,"张家口,正定县,石家庄",1,1,0
焦彦龙,0,1988,1990,1993,1996,2003,2015,0,7,河北,"唐山,沧州,衡水",0,1,0
冯韶慧,1987,1993,0,1996,0,2002,0,0,6,河北,廊坊,1,1,0
李谦,0,1988,1989,1997,2001,2009,2017,0,0,河北,"保定,石家庄,衡水,新乐,裕华区,深泽县,赵县,郊区",0,1,0
杨慧,0,0,0,0,0,2012,0,0,6,河北,"沧州,衡水",0,1,0
耿彦波,1987,1990,1993,1995,2003,2008,0,0,0,山西,"灵石县,大同,太原,榆次区,和顺县,晋中",0,1,1
李俊明,0,0,1992,1994,0,2000,2018,0,0,山西,"定襄县,太原,大同,忻州",1,1,1
陈永奇,0,1993,1998,2000,0,2011,2018,0,7,"山西,辽宁,西藏","阳泉,大连",0,1,0
胡玉亭,1989,0,0,0,0,2011,2018,0,7,"北京,山西","北京,大同,太原,晋中",1,1,0
王清宪,0,0,0,0,0,2008,2016,0,7,"山东,黑龙江,山西","晋城,运城,青岛,吕梁",0,1,0
郑连生,0,1992,1998,2001,2004,2012,0,0,6,山西,"忻州,长治,代县,长治县,临汾",0,1,0
罗清宇,0,0,0,1995,0,2008,2016,0,7,山西,"忻州,大同,太原,临汾,原平",1,1,1
岳普煜,0,0,0,0,0,2012,2018,0,0,山西,"临汾,太原",1,1,1
秦义,0,0,0,0,2006,2011,2018,0,7,"内蒙古,江西","赤峰,呼和浩特,克什克腾旗,呼伦贝尔,内蒙古自治区",1,1,1
