姓名,副科级,正科级,副处级,正处级,副厅级,正厅级,副部级,正部级,工作范围
张家明,0,0,0,0,0,2013,2018,0,"北京市,东城区,城区"
王宁,0,0,1994,0,0,2006,2015,0,"西城区,郊区,宣武区,北京市,兴县,城区"
王少峰,0,0,0,0,0,0,0,0,"北京市,西城区,朝阳区,城区"
程连元,0,0,0,0,0,2012,2016,0,"北京市,朝阳区"
吴桂英,1993,1994,1994,1998,0,2008,2018,0,"北京市,湖南省,朝阳区"
隋振江,0,0,0,0,1999,2003,2015,0,"北京市,西城区,海淀区,城区"
夏林茂,0,0,0,0,0,2011,0,0,"北京市,东城区,石景山区,城区"
卢映川,0,0,0,0,0,2013,0,0,"北京市,西城区,顺义区,城区"
侯君舒,0,0,0,0,0,2010,0,0,"海淀区,北京市,昌平区"
齐静,0,0,0,0,0,2011,2017,0,"北京市,怀柔区"
常卫,0,0,0,0,0,0,0,0,"北京市,东城区,怀柔区,石景山区,城区"
张吉福,0,0,0,0,0,2010,2016,0,"北京市,大同市,山西省,平谷区"
李志军,0,0,0,2012,0,0,0,0,"北京市,延庆县"
冀国强,0,1993,1998,2000,0,2010,2017,0,"代县,宣武区,静海县,北京市,蓟县,天津市"
李树起,0,0,0,0,0,1998,2015,0,"郊区,津南区,南郊区,宁河县,天津市"
袁桐利,0,1986,1994,0,0,2000,2012,0,"武清区,天津市,河北省"
宗国英,0,0,0,0,2009,2010,2013,0,天津市
田向利,0,1985,1992,1995,1996,2001,2011,0,"河北省,唐山市,桥西区,秦皇岛市,石家庄市"
商黎光,0,1989,1992,1997,1999,2013,2016,0,"沧州市,河北省,平乡县,山西省,秦皇岛市"
高宏志,0,0,0,0,2001,2003,0,0,"正定县,邯郸市,衡水市,河北省"
回建,0,1985,1991,1993,1998,0,0,1999,"沧州市,河间市,河北省,邯郸市,张家口市,沧县,唐山市"
孟祥伟,0,1993,1996,1999,2008,2013,0,0,"代县,保定市,河北省,咸宁市,徐水县,赵县,阜平县,秦皇岛市,邢台市"
聂瑞平,0,0,1987,1996,2003,2011,0,0,"保定市,河北省,廊坊市,献县,秦皇岛市"
邢国辉,0,1985,1991,1994,0,2013,2016,0,"正定县,藁城市,河北省,张家口市,石家庄市"
焦彦龙,0,1988,1990,1993,1996,2011,2015,0,"衡水市,沧州市,河北省,唐山市"
冯韶慧,1987,1993,0,1996,0,2012,0,0,"廊坊市,河北省,曲阳县"
李谦,0,1988,1989,1995,1998,2009,2017,0,"新乐市,衡水市,郊区,保定市,河北省,赵县,深泽县,裕华区,石家庄市"
杨慧,0,0,0,0,0,2012,0,0,"衡水市,沧州市,康保县,河北省,邯郸市"
耿彦波,1987,1990,1993,1995,2000,2008,0,0,"大同市,山西省,榆次区,灵石县,和顺县,晋中市,太原市"
李俊明,0,0,1992,1994,2007,2013,0,0,"大同市,忻州市,山西省,定襄县,太原市"
陈永奇,0,1993,1998,2000,0,2013,2018,0,"大连市,辽宁省,山西省,阳泉市"
胡玉亭,1989,1994,0,0,2011,2013,2018,0,"大同市,晋中市,山西省"
王清宪,0,0,0,0,0,2011,2016,0,"吕梁市,青岛市,山东省,山西省,运城市,晋城市"
郑连生,0,1992,1998,2001,2004,2012,0,0,"代县,忻州市,山西省,长治县,潞城市,临汾市"
罗清宇,0,0,0,1995,0,2008,2016,0,"山西省,太原市,临汾市"
岳普煜,0,0,0,0,0,2012,0,0,"山西省,临汾市"
秦义,0,0,0,0,2006,2011,2018,0,"克什克腾旗,呼和浩特市,赤峰市,江西省,内蒙古自治区,呼伦贝尔市"
包钢,1994,1996,1998,0,2006,2013,0,0,"辽宁省,乌审旗,阜新蒙古族自治县,呼和浩特市,包头市,乌海市,阿拉善盟,内蒙古自治区"
云光中,0,0,0,1997,2001,2006,0,0,"呼和浩特市,乌海市,鄂尔多斯市,满洲里市,内蒙古自治区,呼伦贝尔市"
段志强,0,1994,0,2002,2006,2011,0,0,"赤峰市,新巴尔虎右旗,海拉尔区,巴彦淖尔市,扎赉特旗,内蒙古自治区,呼伦贝尔市"
杜学军,0,0,0,0,0,0,1993,0,"陈巴尔虎旗,包头市,满洲里市,石景山区,兴安盟,内蒙古自治区,呼伦贝尔市,额尔古纳市"
张院忠,1987,1990,0,0,1999,2016,0,0,"土默特左旗,锡林郭勒盟,呼和浩特市,包头市,内蒙古自治区"
冯玉臻,0,0,0,2000,2004,2017,0,0,"呼和浩特市,乌海市,和林格尔县,乌兰察布盟,阿拉善盟,内蒙古自治区,通辽市,玉泉区,海南区"
陈海波,0,0,0,0,0,2004,2008,0,"辽宁省,黑龙江省,哈尔滨市,盘锦市,鞍山市,沈阳市"
吴忠琼,0,0,1997,1998,0,2013,2018,0,"江西省,辽宁省,鞍山市"
高宏彬,0,0,0,2002,2007,2010,0,0,"代县,辽宁省,抚顺市,法库县,本溪市,东陵区,沈阳市"
王正谱,0,0,1994,1997,0,2010,2016,0,"涡阳县,任县,辽宁省,辽阳市"
孙国相,0,0,0,0,0,2002,0,0,"盘锦市,辽宁省,鞍山市,丹东市"
蹇彪,1989,1993,0,0,1998,2010,0,0,"辽宁省,朝阳市,新城子区,盘锦市,沈阳市"
王明玉,0,1991,1994,1996,0,2010,2018,0,"锦州市,辽宁省,朝阳市"
高广滨,0,0,1992,0,1997,1997,2007,0,"长春市,龙井市,通化市,公主岭市,松原市,吉林省"
姜治莹,0,0,0,1990,0,1996,2012,0,"长春市,白城市,双阳区,延边朝鲜族自治州,吉林省"
金育辉,1991,0,1994,0,2000,2011,2017,0,"扶余县,临江市,前郭尔罗斯蒙古族自治县,辽源市,通化市,松原市,吉林省"
李相国,0,0,0,1989,0,0,2009,0,"长春市,松原市,吉林省"
张安顺,0,0,1994,1997,0,2001,2011,0,"长春市,朝阳区,通化市,黑龙江省,延边朝鲜族自治州,吉林省"
李景浩,0,0,0,1985,2000,2013,2017,0,"和龙市,延边朝鲜族自治州,龙井市,吉林省"
康志文,1983,0,0,0,1986,2013,0,0,"辽宁省,鸡西市,穆棱市,牡丹江市,大庆市,黑龙江省"
张雨浦,0,1990,1996,0,2004,2004,2016,0,"牡丹江市,兰西县,呼兰县,望奎县,鹤岗市,黑龙江省"
王爱文,0,0,1995,0,0,2005,2016,0,"康保县,河北省,伊春市,黑龙江省,霍山县,佳木斯市,安徽省"
高环,0,0,1993,1998,0,0,2001,2005,"伊春市,齐齐哈尔市"
王兆力,0,0,1992,1994,2004,2004,2017,0,"鸡西市,汤原县,黑龙江省,哈尔滨市,佳木斯市"
孙喆,0,0,0,0,0,1999,2018,0,"哈尔滨市,佳木斯市,双鸭山市,齐齐哈尔市"
韩立华,1991,1992,1996,2000,2012,2012,0,0,"七台河市,大庆市,黑龙江省"
张恩亮,0,0,0,0,0,0,2000,2008,"望奎县,鹤岗市,黑河市,黑龙江省,绥滨县"
过剑飞,0,2006,2009,0,0,0,0,0,"上海市,徐汇区,浦东新区"
程向民,0,0,2013,0,0,0,0,0,"松江区,普陀区"
翁祖亮,0,0,0,0,0,1998,2017,0,"闸北区,黄浦区,浦东新区,卢湾区,上海市"
安路生,0,0,0,0,0,0,2009,0,"闸北区,静安区,上海市"
吴清,0,0,2010,0,0,0,2018,0,"虹口区,上海市"
曹立强,0,0,2013,0,0,0,0,0,"闸北区,杨浦区,虹口区,普陀区"
陈寅,1989,0,0,0,0,2003,2016,0,"徐汇区,杨浦区,上海市"
诸葛宇杰,0,0,2013,0,0,0,2017,0,"普陀区,杨浦区,上海市"
汪泓,0,0,2012,0,0,0,0,0,"宝山区,上海市"
方世忠,0,0,2013,0,0,0,0,0,"上海市,徐汇区,宝山区,静安区"
沈晓明,0,0,0,0,0,0,2008,2017,"浦东新区,上海市"
